     n                $uns_dup$     $bin_dup$           $poi_dup$
     100           35400           10150            5830
     200           10850            5740            1430
     400           39370           14470            2480
     800          149910           29860            5100
    1600          558320           85380            3540
    3200         2409570          262180            6970
    6400         9845140          532170           14080
   12800        39434130         1109560           34370
   25600        163780020        2334250           55520
   51200        662880110        4755640          111650
